key	value
task_ledger_status_counts	STATUS_COL_NOT_FOUND
task_ledger_count	2
manager_major_count	38
manager_major_sample	SAMPLE_QUERY_FAILED
leader_middle_count	4
leader_middle_sample	SAMPLE_QUERY_FAILED
worker_work_unit_count	4
