staticart_minimum_first_send_fixed_v1	knowledge_pack_root	static_art_asset_area	top_level		static_art_asset_area	fn_upsert_static_art_asset_area	9	0	released
staticart_minimum_first_send_fixed_v1	asset_identity_knowledge	static_art_asset_area	payload	projection_payload	static_art_asset_area	fn_upsert_static_art_asset_area	17	0	blocked
staticart_minimum_first_send_fixed_v1	search_and_index_knowledge	asset_metadata_localization_area	payload	index_payload	asset_metadata_localization_area	fn_upsert_asset_metadata_localization_area	17	0	blocked
staticart_minimum_first_send_fixed_v1	exhibition_knowledge	exhibition_projection_area	payload	projection_payload	exhibition_projection_area	fn_upsert_exhibition_projection_area	16	0	blocked
staticart_minimum_first_send_fixed_v1	rights_digest_knowledge	asset_rights_policy_area	payload	policy_context_payload	asset_rights_policy_area	fn_upsert_asset_rights_policy_area	17	0	blocked
