file	loaded_in_index	marker_hits	event_hits	storage_hits	api_hits	debug_hits	root_rewrite_hits	recommended_action
phase-ab-stable-ui.js	no	4	1	8	0	0	7	not_loaded_archive_candidate
phase-ac-stable-ui.js	no	5	1	5	0	0	3	not_loaded_archive_candidate
phase-ad-stable-ui.js	no	5	1	5	0	0	3	not_loaded_archive_candidate
phase-ae-stable-ui.js	no	9	4	5	0	0	5	not_loaded_archive_candidate
phase-af-stable-ui.js	no	17	7	7	0	13	19	not_loaded_archive_candidate
phase-ag-stable-ui.js	no	22	10	9	0	13	23	not_loaded_archive_candidate
phase-ah-stable-ui.js	no	30	13	11	0	13	27	not_loaded_archive_candidate
phase-ai-company-common-rules-small.js	no	1	1	0	0	0	2	not_loaded_archive_candidate
phase-ai-html-freeze-guard.js	no	2	6	0	0	0	1	not_loaded_archive_candidate
phase-aj-clean-ui.js	no	3	1	3	0	8	8	not_loaded_archive_candidate
phase-ak-simplified-ui.js	no	4	1	20	0	8	5	not_loaded_archive_candidate
phase-am-dashboard-detail-ui.js	no	4	1	19	0	8	5	not_loaded_archive_candidate
phase-an-split-add-edit-ui.js	no	4	1	19	0	8	5	not_loaded_archive_candidate
phase-ao-add-only-split-ui.js	no	4	1	19	0	8	5	not_loaded_archive_candidate
phase-bq-bt-repository-ready-ui.js	no	9	1	36	21	12	5	not_loaded_archive_candidate
phase-bu-bx-action-adapter-ready-ui.js	no	10	1	36	21	14	5	not_loaded_archive_candidate
phase-by-cb-action-handlers-ready-ui.js	no	11	1	75	21	16	5	not_loaded_archive_candidate
phase-cc-cf-local-wiring-pilot-ui.js	no	17	2	75	21	16	5	not_loaded_archive_candidate
phase-cg-cj-company-local-wiring-ui.js	no	23	6	89	21	16	5	not_loaded_archive_candidate
phase-ck-cn-department-local-wiring-ui.js	no	36	12	113	21	16	5	not_loaded_archive_candidate
phase-co-cr-organization-local-wiring-ui.js	no	53	18	144	21	16	5	not_loaded_archive_candidate
phase-cs-cv-ledger-local-wiring-ui.js	no	70	24	171	21	17	5	not_loaded_archive_candidate
phase-cw-cz-csv-local-wiring-ui.js	no	85	30	200	21	39	5	not_loaded_archive_candidate
phase-da-dd-review-local-wiring-ui.js	no	100	36	223	21	40	5	not_loaded_archive_candidate
phase-de-dh-workflow-final-local-ui.js	yes	143	51	297	28	48	5	rebuild_as_single_core_or_replace
phase-u-review-ui.js	no	12	4	0	0	2	2	not_loaded_archive_candidate
phase-v-ui.js	no	5	9	6	0	0	3	not_loaded_archive_candidate
phase-z-delete-extension.js	no	2	3	2	0	0	3	not_loaded_archive_candidate
