check_name	result
required_missing_count	0
missing_history_detail_model_count	0
missing_history_exam_model_count	0
db_old_country_hit_count	0
db_new_country_hit_count	5
payload_old_country_hit_count	0
payload_new_country_hit_count	7
payload_size_bytes	89704
final_status	PASS
