section	object_name	relkind	comment
candidate_column	business.aicm_manager_major_work_item	21	display_order	integer	NO
candidate_column	business.aicm_manager_major_work_item	22	metadata_jsonb	jsonb	NO
candidate_column	business.aicm_manager_major_work_item	23	created_at	timestamp with time zone	NO
candidate_column	business.aicm_manager_major_work_item	24	updated_at	timestamp with time zone	NO
candidate_column	business.aicm_manager_major_work_item	3	aicm_user_company_id	uuid	NO
candidate_column	business.aicm_manager_major_work_item	4	aicm_president_policy_id	uuid	YES
candidate_column	business.aicm_manager_major_work_item	5	aicm_user_company_department_id	uuid	YES
candidate_column	business.aicm_manager_major_work_item	6	aicm_user_company_section_id	uuid	YES
candidate_column	business.aicm_manager_major_work_item	7	major_item_name	text	NO
candidate_column	business.aicm_manager_major_work_item	8	major_item_description	text	NO
candidate_column	business.aicm_manager_major_work_item	9	source_route_code	text	NO
candidate_column	business.aicm_task_file_metadata	1	task_file_id	uuid	NO
candidate_column	business.aicm_task_file_metadata	10	file_size_bytes	bigint	NO
candidate_column	business.aicm_task_file_metadata	11	note	text	NO
candidate_column	business.aicm_task_file_metadata	12	created_at	timestamp with time zone	NO
candidate_column	business.aicm_task_file_metadata	2	company_id	uuid	NO
candidate_column	business.aicm_task_file_metadata	3	department_id	uuid	NO
candidate_column	business.aicm_task_file_metadata	4	ledger_row_id	uuid	YES
candidate_column	business.aicm_task_file_metadata	5	file_role	text	NO
candidate_column	business.aicm_task_file_metadata	6	file_name	text	NO
candidate_column	business.aicm_task_file_metadata	7	storage_scope	text	NO
candidate_column	business.aicm_task_file_metadata	8	storage_ref	text	YES
candidate_column	business.aicm_task_file_metadata	9	mime_type	text	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	1	csv_import_batch_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	2	company_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	3	department_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	4	original_file_name	text	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	5	import_status	text	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	6	imported_count	integer	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	7	invalid_count	integer	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	8	created_by	uuid	YES
candidate_column	business.aicm_task_ledger_csv_import_batch	9	created_at	timestamp with time zone	NO
candidate_column	business.aicm_task_ledger_csv_import_row	1	csv_import_row_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_row	2	csv_import_batch_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_row	3	row_number	integer	NO
candidate_column	business.aicm_task_ledger_csv_import_row	4	raw_payload	jsonb	NO
candidate_column	business.aicm_task_ledger_csv_import_row	5	validation_status	text	NO
candidate_column	business.aicm_task_ledger_csv_import_row	6	validation_errors	jsonb	NO
candidate_column	business.aicm_task_ledger_csv_import_row	7	ledger_row_id	uuid	YES
candidate_column	business.aicm_task_ledger_csv_import_row	8	created_at	timestamp with time zone	NO
candidate_column	business.aicm_user_company_department_task_ledger	1	aicm_user_company_department_task_ledger_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	10	responsible_robot_label	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	11	task_status_code	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	12	priority_code	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	13	due_date	date	YES
candidate_column	business.aicm_user_company_department_task_ledger	14	reference_files_text	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	15	supplemental_materials_text	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	16	applicable_rules_text	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	17	note	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	18	handoff_link	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	19	display_order	integer	NO
candidate_column	business.aicm_user_company_department_task_ledger	2	owner_civilization_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	20	metadata_jsonb	jsonb	NO
candidate_column	business.aicm_user_company_department_task_ledger	21	created_at	timestamp with time zone	NO
candidate_column	business.aicm_user_company_department_task_ledger	22	updated_at	timestamp with time zone	NO
candidate_column	business.aicm_user_company_department_task_ledger	3	aicm_user_company_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	4	aicm_user_company_department_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	5	aicm_user_company_section_id	uuid	YES
candidate_column	business.aicm_user_company_department_task_ledger	6	deliverable_name	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	7	task_name	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	8	work_type_code	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	9	responsible_role_code	text	NO
candidate_column	business.robot_pool_sync_ledger	1	robot_pool_sync_ledger_id	uuid	NO
candidate_column	business.robot_pool_sync_ledger	2	sync_source_code	text	NO
candidate_column	business.robot_pool_sync_ledger	3	aiworker_model_code	text	NO
candidate_column	business.robot_pool_sync_ledger	4	robot_pool_id	uuid	YES
candidate_column	business.robot_pool_sync_ledger	5	sync_status_code	text	NO
candidate_column	business.robot_pool_sync_ledger	6	note	text	YES
candidate_column	business.robot_pool_sync_ledger	7	metadata_jsonb	jsonb	NO
candidate_column	business.robot_pool_sync_ledger	8	created_at	timestamp with time zone	NO
candidate_column	business.task	1	id	uuid	NO
candidate_column	business.task	2	user_id	uuid	NO
candidate_column	business.task	3	title	text	NO
candidate_column	business.task	4	description	text	YES
candidate_column	business.task	5	status	text	NO
candidate_column	business.task	6	due_date	timestamp with time zone	YES
candidate_column	business.task	7	created_at	timestamp with time zone	NO
candidate_column	business.task	8	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	1	aicm_leader_deliverable_requirement_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	10	deliverable_type_code	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	11	deliverable_description	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	12	required_quality_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	13	acceptance_criteria_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	14	review_required_flag	boolean	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	15	requirement_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	16	priority_code	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	17	due_date	date	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	18	reference_files_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	19	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	2	owner_civilization_id	uuid	YES
