clerical_control	5	5	20
clerical_execution	6	5	19
combat_unit	6	6	36
education	8	8	24
game	6	5	20
operations	8	11	41
qualification_prep	9	12	29
senior_clerical_control	5	4	20
streaming	5	9	21
utility_assist	6	7	15
workforce_execution	6	5	17
