schema_name	function_name	arguments	result_type
business	fn_aicm_aiworker_api_audit_write	p_request_id uuid, p_api_client_id uuid, p_client_code text, p_company_id uuid, p_endpoint_code text, p_action_code text, p_dry_run_flag boolean, p_allowed_flag boolean, p_status_code text, p_error_code text, p_reason text, p_request_jsonb jsonb DEFAULT '{}'::jsonb, p_response_jsonb jsonb DEFAULT '{}'::jsonb, p_request_ip inet DEFAULT NULL::inet, p_user_agent text DEFAULT NULL::text, p_metadata_jsonb jsonb DEFAULT '{}'::jsonb	uuid
business	fn_aicm_aiworker_api_auth_check	p_token text, p_company_id uuid DEFAULT NULL::uuid, p_endpoint_code text DEFAULT 'unknown_endpoint'::text, p_action_code text DEFAULT 'unknown_action'::text, p_dry_run_flag boolean DEFAULT true, p_request_jsonb jsonb DEFAULT '{}'::jsonb, p_request_ip inet DEFAULT NULL::inet, p_user_agent text DEFAULT NULL::text	jsonb
business	fn_aicm_aiworker_company_context_check	p_company_id uuid	jsonb
business	fn_aicm_aiworker_current_api_client_id		uuid
business	fn_aicm_aiworker_current_company_id		uuid
business	fn_aicm_aiworker_require_company_context	p_company_id uuid, p_action_code text DEFAULT 'unknown'::text	void
business	fn_aicm_aiworker_token_hash	p_token text	text
business	fn_business_aiworker_upsert_robot_pool	p_aiworker_model_code text, p_aiworker_series_code text DEFAULT NULL::text, p_manufacturer_code text DEFAULT NULL::text, p_display_name text DEFAULT NULL::text, p_business_offer_code text DEFAULT 'standard'::text, p_pool_scope_code text DEFAULT 'business_global'::text, p_available_quantity integer DEFAULT 0, p_rental_unit_code text DEFAULT 'month'::text, p_status_code text DEFAULT 'active'::text, p_metadata_jsonb jsonb DEFAULT '{}'::jsonb	uuid
business	worker_rental_unit_to_minutes	p_unit_kind text, p_unit_count integer	integer
(30 rows)
